time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T21:43:08Z,176.9,5.22,8.84,9.66,0,0.0,0.0,0,0.04
2026-07-14T21:43:09Z,146.0,6.90,7.88,11.44,0,0.0,0.0,6,0.04
2026-07-14T21:43:10Z,145.0,6.97,7.81,9.25,0,0.0,0.0,5,0.04
2026-07-14T21:43:11Z,144.0,6.94,7.75,9.20,0,0.0,0.0,5,0.04
2026-07-14T21:43:12Z,144.0,6.91,7.97,9.34,0,0.0,0.0,3,0.04
2026-07-14T21:43:13Z,144.0,6.96,7.74,10.81,0,0.0,0.0,0,0.04
2026-07-14T21:43:14Z,144.0,6.89,8.16,10.28,0,0.0,0.0,0,0.04
2026-07-14T21:43:15Z,144.0,6.92,7.96,10.54,0,0.0,0.0,0,0.04
2026-07-14T21:43:16Z,145.0,6.93,7.77,9.21,0,0.0,0.0,0,0.04
2026-07-14T21:43:17Z,145.0,6.92,7.90,8.25,0,0.0,0.0,0,0.04
2026-07-14T21:43:18Z,144.0,6.94,8.22,10.28,0,0.0,0.0,0,0.04
2026-07-14T21:43:19Z,144.0,6.91,8.52,9.96,0,0.0,0.0,0,0.04
2026-07-14T21:43:20Z,144.1,6.92,8.20,10.34,0,0.0,0.0,0,0.04
2026-07-14T21:43:21Z,143.9,6.90,8.37,10.94,0,0.0,0.0,0,0.04
2026-07-14T21:43:22Z,145.0,6.85,8.25,8.76,0,0.0,0.0,0,0.04
2026-07-14T21:43:23Z,145.0,6.91,8.09,14.31,0,0.0,0.0,0,0.04
2026-07-14T21:43:24Z,145.0,6.90,7.82,11.87,0,0.0,0.0,0,0.04
2026-07-14T21:43:25Z,145.0,6.90,8.07,8.56,0,0.0,0.0,0,0.04
2026-07-14T21:43:26Z,144.0,6.92,8.35,11.82,0,0.0,0.0,0,0.04
2026-07-14T21:43:27Z,145.0,6.92,8.54,9.32,0,0.0,0.0,0,0.04
2026-07-14T21:43:28Z,143.1,6.92,7.98,10.79,0,0.0,0.0,0,0.04
2026-07-14T21:43:29Z,145.0,6.84,8.03,10.21,0,0.0,0.0,0,0.04
2026-07-14T21:43:30Z,144.0,6.93,7.94,11.40,0,0.0,0.0,0,0.04
2026-07-14T21:43:31Z,145.0,6.89,8.25,12.65,0,0.0,0.0,0,0.04
2026-07-14T21:43:32Z,145.0,6.90,7.73,8.97,0,0.0,0.0,0,0.04
2026-07-14T21:43:33Z,145.0,6.89,8.11,9.66,0,0.0,0.0,0,0.04
2026-07-14T21:43:34Z,142.0,6.89,7.81,26.26,0,0.0,0.0,0,0.04
2026-07-14T21:43:35Z,146.0,6.94,7.58,7.98,0,0.0,0.0,0,0.04
2026-07-14T21:43:36Z,145.0,6.94,7.77,9.45,0,0.0,0.0,0,0.04
2026-07-14T21:43:37Z,145.1,6.90,8.12,8.90,0,0.0,0.0,0,0.04
2026-07-14T21:43:38Z,145.0,6.91,8.20,11.00,0,0.0,0.0,0,0.04
2026-07-14T21:43:39Z,144.9,6.93,8.33,8.89,0,0.0,0.0,0,0.04
2026-07-14T21:43:40Z,145.0,6.87,8.06,10.60,0,0.0,0.0,0,0.04
2026-07-14T21:43:41Z,144.0,6.88,8.22,8.96,0,0.0,0.0,0,0.04
2026-07-14T21:43:42Z,144.1,6.96,8.59,13.68,0,0.0,0.0,0,0.04
2026-07-14T21:43:43Z,149.0,6.82,7.99,11.31,0,0.0,0.0,0,0.04
2026-07-14T21:43:44Z,175.1,5.15,8.76,9.78,0,0.0,0.0,0,0.04
2026-07-14T21:43:45Z,144.0,6.94,7.98,10.28,0,0.0,0.0,0,0.04
2026-07-14T21:43:46Z,155.9,6.73,8.22,10.46,0,0.0,0.0,0,0.04
2026-07-14T21:43:47Z,159.0,6.52,8.53,9.84,0,0.0,0.0,0,0.04
2026-07-14T21:43:48Z,144.0,6.93,8.21,10.00,0,0.0,0.0,0,0.04
2026-07-14T21:43:49Z,144.0,6.93,7.98,10.99,0,0.0,0.0,0,0.04
2026-07-14T21:43:50Z,144.0,6.98,8.24,10.51,0,0.0,0.0,0,0.04
2026-07-14T21:43:51Z,144.0,6.93,8.00,10.01,0,0.0,0.0,0,0.04
2026-07-14T21:43:52Z,139.0,6.95,8.09,25.97,0,0.0,0.0,0,0.04
2026-07-14T21:43:53Z,152.1,6.90,7.23,8.93,0,0.0,0.0,0,0.04
2026-07-14T21:43:54Z,171.0,5.38,8.99,9.56,0,0.0,0.0,0,0.04
2026-07-14T21:43:55Z,143.9,6.94,7.53,9.45,0,0.0,0.0,0,0.04
2026-07-14T21:43:56Z,144.1,6.92,8.01,9.30,0,0.0,0.0,0,0.04
